review_id,source,text,rating,date
131,Play Store,Some items are left out and some are in reduced weight example Vegetables you tell it is half kg but weight is 300 gms please dont cheat the consumer,2,2026-07-28T08:02:31
132,Play Store,besttttt experience just download it and useee fast nd furious orderr bestt of all time thank youu,5,2026-07-28T07:51:10
133,Play Store,"Fruits and vegetables items are useless and poor quality, price are very high as market price.",1,2026-07-28T07:50:54
134,Play Store,handling charge nahi lgana chahiye,4,2026-07-28T07:47:57
135,Play Store,not available in my area pls blinkit available your app in our. area,1,2026-07-28T07:43:23
136,Play Store,"They deliver products very late, delivery partners stops at some place, deliberately delivering late orders.",1,2026-07-28T07:42:30
137,Play Store,very useful app for urgent needs👍😍,4,2026-07-28T07:40:02
138,Play Store,"Grocery service is top notch but hat's off for the Ambulance service from Blinkit, keep up the good work.",5,2026-07-28T07:39:48
139,Play Store,"blinkit is really a last minute saver app , it is the best and fast online delivery app , all the things will arrive fresh and neatly packed with maintaining the best cleanliness , thank you",5,2026-07-28T07:33:47
140,Play Store,delivered in fast delivery staff is very humble,5,2026-07-28T07:29:18
141,Play Store,deli er boy 600 total bill I have given two 500 notes change he is not giving or he is balance amt to my gpay and orguing with me in the morning morning,1,2026-07-28T07:28:59
142,Play Store,lot of cancels and refunds take 7 days at least,4,2026-07-28T07:22:11
143,Play Store,he is best grosriye delivery app free delivery,5,2026-07-28T07:19:15
144,Play Store,"guyz Don't buy anything from blinkit. they only provide rotten things and then they don't have any option open for customer for resolution. better use Bigbasket, flipkart,jio mart and other delivery. they are 1000 times better than this. there is no option to give ZERO star else I could have given that.",1,2026-07-28T07:13:20
145,Play Store,piz reduce the price of item,4,2026-07-28T07:11:24
146,Play Store,weri easy to use iam soo happy,5,2026-07-28T07:10:08
147,Play Store,"I received my earbuds order from Chembur via Blinkit. Both earbuds appear to be the same side, so they do not fit properly in the charging case. Also, the earbuds were loose in a plastic packet instead of being placed correctly inside the charging caseorder the ear buds both are same ears and fitting in shell the buds has came in plastic not in shell it is from chembur blinkit",1,2026-07-28T07:06:28
148,Play Store,Great! I like how functional this app is.,5,2026-07-28T07:06:16
149,Play Store,User friendly. can be a little more competetive,5,2026-07-28T06:25:26
150,Play Store,rain charge is taken 20rs but rain is not there in my area,1,2026-07-28T06:14:41
151,Play Store,BLINKIT SAVE MY LIFE WHEN I WAS SUFFERING FROM HUNGER U SAVE ME 😢❤️🥺,5,2026-07-28T05:55:28
152,Play Store,కొంచెం మంచి కూరగాయలు పంపించండి ఫ్రూట్స్ గాని ఇలా కూరగాయలు గాని కొంచెం క్వాలిటీ ఉండట్లేదు నెక్స్ట్ వచ్చేసి ఒకదాంట్లో రేటు పెంచుతున్నారు తగ్గిస్తున్నారు ఎవరైనా బ్యాగ్ కి మినిమం ఫైవ్ రుపీస్ తీసుకుంటే బెటర్ మిగతా వ్యాపులు అంతే తీసుకుంటున్నాను,4,2026-07-28T05:34:15
153,Play Store,not good experience bakwas h ye app delivery delay h bohot problem h isme,1,2026-07-28T05:32:14
154,Play Store,handling charges are very high. No customer support to make complaints about after delivery issues.,1,2026-07-28T02:51:04
155,Play Store,"Some innovations make life easier. Others save lives.A heartfelt thank you to the entire Blinkit Ambulance team for showing up when every second mattered.Your speed, professionalism, and compassion gave us hope in one of our most difficult moments.A special appreciation to Albinder Dhindsa for the vision behind Blinkit's 10-minute ambulance service. This isn't just innovation—it's a lifeline for countless families.Thank you for proving that the fastest delivery can also be the most meaningful.",5,2026-07-28T02:26:40
156,Play Store,Bahot Khatarnaak Log He 2 Baze Raat Me DELIVERY Karte Hain inko To Medicine Bhi Delver Karna Chahiye Aur Ambulance Services Shuru Karna Chahiye,5,2026-07-28T02:24:26
157,Play Store,"it's one of the most convenient apps ever. But I had one suggestion, it would be great if we could have scheduled delivery options so it becomes even more convenient. kudos to the team for their constant efforts!",5,2026-07-28T01:57:20
158,Play Store,worst experiance my refund is not credited in my acccount but blinkit shows refund is complete where is my money ?? dont buy,1,2026-07-28T01:51:10
159,Play Store,blinkit per scam ho raha hai main sabse request Karta Hun Ki is app per koi bhi Saman Na Le return ki guarantee lete hain per yah return nahin lete aapse yah baat bhi nahin karenge aur baat karenge to aapko bhi jakar rakhenge main sach mein Kah Raha Hun Main abhi tak Apne rs 2000 is app per koi bhi app mat Apne paise kharab karne ho to please chalaea per bahut ganda scam ho raha hai yaar,1,2026-07-28T01:48:19
160,YouTube,Isnt this suppose link how to save myself if a bear chasing me?,,
161,YouTube,I'm gonna send this to my friend so I can rickroll him,,
162,YouTube,I scanned a group code and it took me here...,,
163,YouTube,Muffin juice how dare you I scanned it why 😭😭😭,,
164,YouTube,Remove ads from this video so we can rickroll,,
165,YouTube,Only took 15 years for YouTube to get rickrolled I guess,,
166,YouTube,He's ingrained in our brains at this point. Such a devoted man.,,
167,YouTube,It's YouTube and They GOT RICK ROLLED. HAHA,,
168,YouTube,make this appear on everyone's homepages for a day,,
169,YouTube,"Happy 20, but I miss the early years. You created too many weirdos.",,
170,YouTube,"And whoever is seeing this, you didn't give up scrolling :) Great job!",,
171,YouTube,YOOO 18 HOURS AGO. I CAN GUARANTEE YOUTUBE GOT RICK ROLLED 💀💙,,
172,YouTube,@sawmangames  i can gurantee you that no they didnt,,
173,YouTube,Here to be in the reply section of one of the most legendary comments ever,,
174,YouTube,Your ads that destroyed ones ability to rick roll someone is a travesty the universe cannot forgive.,,
175,YouTube,even in 2025 youtube  got rickrolled.. maybe there is hope for humanity after all,,
176,YouTube,Happy 20th anniversary youtube. Btw wheres jawed the creator of me at the zoo?,,
177,YouTube,"As a Korean, I sincerely wish YouTube a happy birthday.",,
